Area Name,Time,Rate
San Francisco County,Sep-13,0.052185635
San Francisco County,Oct-13,0.052396662
San Francisco County,Nov-13,0.049344641
San Francisco County,Dec-13,0.04621606
San Francisco County,Jan-14,0.049132948
San Francisco County,Feb-14,0.048738532
San Francisco County,Mar-14,0.048353322
San Francisco County,Apr-14,0.041618719
San Francisco County,May-14,0.042199733
San Francisco County,Jun-14,0.0443725
San Francisco County,Jul-14,0.046725464
San Francisco County,Aug-14,0.045480173
San Francisco County,Sep-14,0.041432321
San Francisco County,Oct-14,0.040477523
San Francisco County,Nov-14,0.039962652
San Francisco County,Dec-14,0.036414566
San Francisco County,Jan-15,0.041060097
San Francisco County,Feb-15,0.038876488
San Francisco County,Mar-15,0.038068709
San Francisco County,Apr-15,0.035408125
San Francisco County,May-15,0.035767235
San Francisco County,Jun-15,0.037798777
San Francisco County,Jul-15,0.038996705
San Francisco County,Aug-15,0.036446886
San Francisco County,Sep-15,0.033767664
San Francisco County,Oct-15,0.034628069
San Francisco County,Nov-15,0.033705807
San Francisco County,Dec-15,0.032553036
San Francisco County,Jan-16,0.034212921
San Francisco County,Feb-16,0.03341763
San Francisco County,Mar-16,0.033998921
San Francisco County,Apr-16,0.031754672
San Francisco County,May-16,0.029785688
San Francisco County,Jun-16,0.034134008
San Francisco County,Jul-16,0.03549135
San Francisco County,Aug-16,0.034470441
San Francisco County,Sep-16,0.033012134
San Francisco County,Oct-16,0.033446611
San Francisco County,Nov-16,0.03135077
San Francisco County,Dec-16,0.030014378
San Francisco County,Jan-17,0.033843962
San Francisco County,Feb-17,0.031355182
San Francisco County,Mar-17,0.029911504
San Francisco County,Apr-17,0.027792624
San Francisco County,May-17,0.027698356
San Francisco County,Jun-17,0.030960854
San Francisco County,Jul-17,0.032331752
San Francisco County,Aug-17,0.032104428
San Francisco County,Sep-17,0.027411703
San Francisco County,Oct-17,0.026888378
San Francisco County,Nov-17,0.02563196
San Francisco County,Dec-17,0.024649761
San Francisco County,Jan-18,0.026983845
San Francisco County,Feb-18,0.02564553
San Francisco County,Mar-18,0.024702172
San Francisco County,Apr-18,0.022183099
San Francisco County,May-18,0.020734493
San Francisco County,Jun-18,0.025641026
San Francisco County,Jul-18,0.024969864
San Francisco County,Aug-18,0.024567474
San Francisco County,Sep-18,0.021873924
San Francisco County,Oct-18,0.022493132
San Francisco County,Nov-18,0.021378485
San Francisco County,Dec-18,0.02130924
San Francisco County,Jan-19,0.026230625
San Francisco County,Feb-19,0.02408821
San Francisco County,Mar-19,0.025558017
San Francisco County,Apr-19,0.020746888
San Francisco County,May-19,0.018955713
San Francisco County,Jun-19,0.023468507
San Francisco County,Jul-19,0.024489796
San Francisco County,Aug-19,0.023156819
San Mateo County,Jan-90,0.025114772
San Mateo County,Feb-90,0.0232873
San Mateo County,Mar-90,0.021915584
San Mateo County,Apr-90,0.024112707
San Mateo County,May-90,0.024701412
San Mateo County,Jun-90,0.025606469
San Mateo County,Jul-90,0.029803087
San Mateo County,Aug-90,0.02792696
San Mateo County,Sep-90,0.028563656
San Mateo County,Oct-90,0.02744887
San Mateo County,Nov-90,0.028470716
San Mateo County,Dec-90,0.027672273
San Mateo County,Jan-91,0.03538124
San Mateo County,Feb-91,0.038450975
San Mateo County,Mar-91,0.039242591
San Mateo County,Apr-91,0.037534247
San Mateo County,May-91,0.040286976
San Mateo County,Jun-91,0.043287671
San Mateo County,Jul-91,0.044816415
San Mateo County,Aug-91,0.041824069
San Mateo County,Sep-91,0.040788393
San Mateo County,Oct-91,0.038388754
San Mateo County,Nov-91,0.036896365
San Mateo County,Dec-91,0.037327563
San Mateo County,Jan-92,0.046517954
San Mateo County,Feb-92,0.048580786
San Mateo County,Mar-92,0.048594049
San Mateo County,Apr-92,0.04825518
San Mateo County,May-92,0.049849356
San Mateo County,Jun-92,0.055031022
San Mateo County,Jul-92,0.055970149
San Mateo County,Aug-92,0.054706356
San Mateo County,Sep-92,0.054297408
San Mateo County,Oct-92,0.049372613
San Mateo County,Nov-92,0.049741778
San Mateo County,Dec-92,0.047036433
San Mateo County,Jan-93,0.052974735
San Mateo County,Feb-93,0.054098361
San Mateo County,Mar-93,0.052761748
San Mateo County,Apr-93,0.051600442
San Mateo County,May-93,0.050410959
San Mateo County,Jun-93,0.054406964
San Mateo County,Jul-93,0.054735712
San Mateo County,Aug-93,0.051226746
San Mateo County,Sep-93,0.049701249
San Mateo County,Oct-93,0.048780488
San Mateo County,Nov-93,0.045698925
San Mateo County,Dec-93,0.042467949
San Mateo County,Jan-94,0.051309749
San Mateo County,Feb-94,0.050797082
San Mateo County,Mar-94,0.049633849
San Mateo County,Apr-94,0.048409029
San Mateo County,May-94,0.047036433
San Mateo County,Jun-94,0.049577772
San Mateo County,Jul-94,0.051399354
San Mateo County,Aug-94,0.048708288
San Mateo County,Sep-94,0.046892039
San Mateo County,Oct-94,0.043630487
San Mateo County,Nov-94,0.039902939
San Mateo County,Dec-94,0.035196131
San Mateo County,Jan-95,0.04359673
San Mateo County,Feb-95,0.042646255
San Mateo County,Mar-95,0.042145594
San Mateo County,Apr-95,0.04494382
San Mateo County,May-95,0.043203082
San Mateo County,Jun-95,0.045116919
San Mateo County,Jul-95,0.04695089
San Mateo County,Aug-95,0.043973941
San Mateo County,Sep-95,0.041986828
San Mateo County,Oct-95,0.039826605
San Mateo County,Nov-95,0.036876356
San Mateo County,Dec-95,0.03304442
San Mateo County,Jan-96,0.039189189
San Mateo County,Feb-96,0.03655914
San Mateo County,Mar-96,0.036305392
San Mateo County,Apr-96,0.036378335
San Mateo County,May-96,0.035395839
San Mateo County,Jun-96,0.034686744
San Mateo County,Jul-96,0.037951168
San Mateo County,Aug-96,0.034345048
San Mateo County,Sep-96,0.032878909
San Mateo County,Oct-96,0.030679714
San Mateo County,Nov-96,0.028954988
San Mateo County,Dec-96,0.025950197
San Mateo County,Jan-97,0.030740935
San Mateo County,Feb-97,0.029434954
San Mateo County,Mar-97,0.029250457
San Mateo County,Apr-97,0.026722557
San Mateo County,May-97,0.025963808
San Mateo County,Jun-97,0.029281046
San Mateo County,Jul-97,0.03004403
San Mateo County,Aug-97,0.028993011
San Mateo County,Sep-97,0.027400835
San Mateo County,Oct-97,0.024049651
San Mateo County,Nov-97,0.022393822
San Mateo County,Dec-97,0.021025641
San Mateo County,Jan-98,0.025853154
San Mateo County,Feb-98,0.024522457
San Mateo County,Mar-98,0.025482625
San Mateo County,Apr-98,0.02286742
San Mateo County,May-98,0.022855675
San Mateo County,Jun-98,0.025851037
San Mateo County,Jul-98,0.027749748
San Mateo County,Aug-98,0.02712294
San Mateo County,Sep-98,0.026564496
San Mateo County,Oct-98,0.024458599
San Mateo County,Nov-98,0.021871821
San Mateo County,Dec-98,0.019143577
San Mateo County,Jan-99,0.022583101
San Mateo County,Feb-99,0.021529889
San Mateo County,Mar-99,0.020728008
San Mateo County,Apr-99,0.019923372
San Mateo County,May-99,0.018311292
San Mateo County,Jun-99,0.021033958
San Mateo County,Jul-99,0.022733013
San Mateo County,Aug-99,0.021255061
San Mateo County,Sep-99,0.020025349
San Mateo County,Oct-99,0.018499747
San Mateo County,Nov-99,0.016645649
