web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919756-2002","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/27760-Edgerton-Rd-Los-Altos-Hills-CA-94022/19528746_zpid/","Los Altos Hills, CA 94022","For sale","27760 Edgerton Rd,","7,886","4","8","null","$4,995,000","Single Family","1980","Forced air","Central","3 spaces","1.65 acres","$11,073/mo","9","8","10","Multi-Zone","Composition","null","Public Utilities","$20,549"
"1572920454-2194","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/10570-Blandor-Way-Los-Altos-Hills-CA-94024/19629392_zpid/","Los Altos Hills, CA 94024","For sale","10570 Blandor Way,","12,000","6","9","$20,939,957","$21,000,000","Single Family","1955","Radiant","Central","3 spaces","1.29 acres","$49,367/mo","9","10","9","null","Metal","null","Public Utilities, Natural Gas, Individual Gas Meters","$53,730"
"1572919684-1985","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/12501-Zappettini-Ct-Los-Altos-Hills-CA-94022/19528865_zpid/","Los Altos Hills, CA 94022","For sale","12501 Zappettini Ct,","8,625","6","8","null","$8,200,000","Single Family","2017","Forced air","Central","2 spaces","1.18 acres","$18,851/mo","9","9","9","null","Tile","null","null","$82,826"
"1572919828-2021","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/26140-Rancho-Manuella-Ln-Los-Altos-Hills-CA-94022/19527174_zpid/","Los Altos Hills, CA 94022","For sale","26140 Rancho Manuella Ln,","10,442","5","7","null","$12,888,000","Single Family","2004","Other","No Data","5 spaces","1.1 acres","$28,531/mo","9","9","9","Multi-Zone","No","null","Natural Gas","$86,383"
"1572919702-1990","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/0-Arroyo-Way-Los-Altos-Hills-CA-94022/2103283971_zpid/","Los Altos Hills, CA 94022","Lot/land","0 Arroyo Way,","null","2.32 acres","null","None","$1,125,000","null","null","null","null","null","null","$3,100/mo","9","9","9","null","Residential Lots & Land","Square Feet","Electricity - Available at Street","null"
"1572920186-2118","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/26724-Palo-Hills-Dr-Los-Altos-Hills-CA-94022/19527485_zpid/","Los Altos Hills, CA 94022","For sale","26724 Palo Hills Dr,","2,946","5","4","null","$4,995,000","Single Family","1966","Other","No Data","2 spaces","0.98 acres","$11,827/mo","9","8","10","null","No","null","null","$5,263"
"1572920108-2097","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/13027-La-Barranca-Rd-Los-Altos-Hills-CA-94022/19528294_zpid/","Los Altos Hills, CA 94022","For sale","13027 La Barranca Rd,","3,148","4","3","$3,286,382","$3,175,000","Single Family","1968","Forced air","Central","3 spaces","1.28 acres","$7,851/mo","9","8","10","null","No","null","Public Utilities","$3,959"
"1572919695-1988","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/26088-Duval-Way-Los-Altos-Hills-CA-94022/19527893_zpid/","Los Altos Hills, CA 94022","For sale","26088 Duval Way,","4,307","5","6","None","$6,998,000","Single Family","2018","Forced air","Central","2 spaces","1.01 acres","$15,582/mo","9","9","9","null","Composition","null","Public Utilities","$36,917"
"1572919923-2042","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/Brand-New-Expansive-Setting-Panoramic-Vws-Los-Altos-Hills-CA-94022/2083198816_zpid/","Los Altos Hills, CA 94022","Lot/land","Brand New Expansive Setting Panoramic Vws,","null","3.5 acres","null","null","$25,000,000","null","null","null","null","null","null","$4,500/mo","9","9","9","null","null","null","null","null"
"1572920331-2155","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/25621-Vinedo-Ln-Los-Altos-Hills-CA-94022/116156866_zpid/","Los Altos Hills, CA 94022","For sale","25621 Vinedo Ln,","9,348","6","11","$11,886,594","$11,988,000","Single Family","2013","Forced air, Radiant","Central","5 spaces","1.05 acres","$27,902/mo","9","9","9","Multi-Zone, Central AC","Slate","null","Generator, Individual Electric Meters, Individual Gas Meters, Solar Panels - Owned, Solar - Hot Water Heater - Owned","$75,806"
"1572920119-2100","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/25850-Westwind-Way-Los-Altos-Hills-CA-94022/79844993_zpid/","Los Altos Hills, CA 94022","For sale","25850 Westwind Way,","4,873","5","5","$5,838,137","$5,988,000","Single Family","2009","Forced air, Radiant","Central","5 spaces","1.26 acres","$13,910/mo","9","8","10","Multi-Zone, Central AC","Composition","null","Generator, Individual Electric Meters, Public Utilities, Individual Gas Meters","$61,427"
