web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572904006-746","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/805-Atherton-Ave-Novato-CA-94945/80735361_zpid/","Novato, CA 94945","For sale","805 Atherton Ave,","","","","","4","https://www.zillow.com/novato-ca/4_p/","1,266","2","1","None","$2,199,000","Single Family","1950","Baseboard","No Data","4 spaces","11.23 acres","$4,950/mo","4","6","8","null","No","null","null","$16,555"
"1572904661-967","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/20-Azalea-Pl-Novato-CA-94949/58767088_zpid/","Novato, CA 94949","Pre-foreclosure / auction","20 Azalea Pl,","","","3","https://www.zillow.com/novato-ca/3_p/","","","2,183","4","3","$746,667","$746,667","Single Family","2003","Forced air","Central","3 spaces","9,392 sqft","null","4","8","null","Central","Asphalt","null","null","$13,867"
"1572908164-1444","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/1826-Virginia-Ave-Novato-CA-94945/19282226_zpid/","Novato, CA 94945","Pre-foreclosure","1826 Virginia Ave,","","","","","","","4,521","7","4","$952,607","$952,607","Single Family","1959","Forced air","Central","Carport","0.39 acres","null","7","6","8","null","Composition","null","null","$11,148"
"1572903850-706","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/35-Oliva-Dr-F-Novato-CA-94947/19280155_zpid/","Novato, CA 94947","For sale","35 Oliva Dr # F,","","","","","4","https://www.zillow.com/novato-ca/4_p/","1,288","2","2","$493,964","$495,950","Condo","1974","Other","No Data","No Data","$444/month","$3,150/mo","7","6","8","null","No","null","null","$2,215"
"1572904136-787","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/513-Village-Cir-Novato-CA-94947/19287918_zpid/","Novato, CA 94947","For sale","513 Village Cir,","","","","","4","https://www.zillow.com/novato-ca/4_p/","1,372","2","3","$522,587","$529,000","Condo","1976","Other","No Data","Carport","$325/month","$3,350/mo","4","8","null","null","Shake/Shingle","null","null","$1,764"
"1572904902-1050","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/12-Madrid-Ct-Novato-CA-94949/19293218_zpid/","Novato, CA 94949","Pre-foreclosure / auction","12 Madrid Ct,","","","3","https://www.zillow.com/novato-ca/3_p/","","","null","3","null","$443,492","$443,492","Single Family","1987","Other","No Data","1 space","435 sqft","null","4","8","null","null","No","null","null","$6,705"
"1572907915-1362","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/75-Estrella-Way-Novato-CA-94945/19277387_zpid/","Novato, CA 94945","For sale","75 Estrella Way,","2","https://www.zillow.com/novato-ca/2_p/","","","","","null","3","null","$959,004","$957,000","Single Family","1968","Forced air","Central","2 spaces","7,875 sqft","$4,225/mo","7","6","8","null","No","null","null","$10,164"
"1572907865-1348","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/70-Miwok-Dr-Novato-CA-94947/51065110_zpid/","Novato, CA 94947","For sale","70 Miwok Dr,","2","https://www.zillow.com/novato-ca/2_p/","","","","","5,200","5","5","null","$2,675,000","Single Family","2000","Forced air","Central","Attached Garage","2.26 acres","$9,500/mo","6","6","8","Central","Other","null","null","$19,574"
"1572907691-1286","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/7-Brockton-Dr-Novato-CA-94949/53733324_zpid/","Novato, CA 94949","For sale","7 Brockton Dr,","2","https://www.zillow.com/novato-ca/2_p/","","","","","3,170","4","5","$782,924","$1,058,000","Single Family","2000","Other","No Data","2 spaces","5,662 sqft","$5,000/mo","4","8","null","null","Tile","null","null","$14,431"
"1572903877-716","https://www.zillow.com/homes/novato-CA_rb/","","https://www.zillow.com/homedetails/8-Park-Crest-Ct-APT-B-Novato-CA-94947/19287992_zpid/","Novato, CA 94947","Pre-foreclosure / auction","8 Park Crest Ct APT B,","","","","","4","https://www.zillow.com/novato-ca/4_p/","null","2","null","null","null","Condo","1976","Other","No Data","No Data","$446/month","null","4","8","null","null","No","null","null","$6,174"
