web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572908540-1530","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/845-Pathfinder-Ct-Oakley-CA-94561/95425428_zpid/","Oakley, CA 94561","Pre-foreclosure / auction","845 Pathfinder Ct,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","3,427","5","5","$611,294","$611,294","Single Family","2013","Forced air","Central","3 spaces","8,681 sqft","null","3","4","5","Laundry Room","Stucco & Stone","Window Coverings","null","$7,867"
"1572908501-1517","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/5390-Sandmound-Blvd-Oakley-CA-94561/18288081_zpid/","Oakley, CA 94561","For sale","5390 Sandmound Blvd,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","1,340","2","1","$399,008","$399,000","Single Family","1963","Forced air","Wall","No Data","8,729 sqft","null","3","4","5","null","Stucco","1963","null","$2,173"
"1572904327-863","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/416-Rocky-Mountain-Way-Oakley-CA-94561/72549312_zpid/","Oakley, CA 94561","Pre-foreclosure","416 Rocky Mountain Way,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","5","null","$509,805","$509,805","Single Family","2006","No Data","Central","2 spaces","5,430 sqft","null","4","4","5","null","No","null","null","$7,518"
"1572904985-1079","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/735-Solitude-Dr-Oakley-CA-94561/68039739_zpid/","Oakley, CA 94561","Pre-foreclosure / auction","735 Solitude Dr,","","","3","https://www.zillow.com/oakley-ca/3_p/","","","3,615","4","3","$612,257","$612,257","Single Family","2005","No Data","Central","3 spaces","8,276 sqft","null","4","3","5","null","Tile","null","null","$10,081"
"1572908648-1567","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/1914-Hamburg-St-Oakley-CA-94561/18292800_zpid/","Oakley, CA 94561","For sale","1914 Hamburg St,","","","","","","","1,330","3","2","$452,093","$452,000","Single Family","1988","Forced air","Central","2 spaces","3,641 sqft","$2,400/mo","5","4","5","null","Tile","null","null","$5,343"
"1572904547-933","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/222-Oak-View-Ln-Oakley-CA-94561/18288967_zpid/","Oakley, CA 94561","Pre-foreclosure","222 Oak View Ln,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","3","null","$483,332","$483,332","Single Family","1994","No Data","Central","2 spaces","6,300 sqft","null","4","4","5","null","No","null","null","$6,140"
"1572907834-1335","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/5790-Sellers-Ave-Oakley-CA-94561/2093383089_zpid/","Oakley, CA 94561","For sale","5790 Sellers Ave,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","1,272","3","2","null","$1,200,000","Single Family","1964","Gas","Central","Attached Garage","1.94 acres","$2,700/mo","3","5","null","Gas","Stucco","Composition","null","null"
"1572909462-1724","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/11-Dowitcher-Ct-Oakley-CA-94561/72551479_zpid/","null","null","null","","","","","","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1572908746-1599","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/5377-Sunrise-Meadows-Ln-Oakley-CA-94561/18293537_zpid/","Oakley, CA 94561","For sale","5377 Sunrise Meadows Ln,","","","","","","","1,419","3","3","$406,186","$405,900","Single Family","1988","Forced air","Central","2 spaces","3,049 sqft","null","5","4","5","Forced Air 1 Zone","Stucco, Wood Siding","Composition","null","$5,099"
"1572907867-1350","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/4486-Fall-Ln-Oakley-CA-94561/18290000_zpid/","Oakley, CA 94561","For sale","4486 Fall Ln,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","1,677","4","3","$475,000","$475,000","null","null","null","null","null","null","$2,520/mo","4","3","5","null","null","null","null","null"
"1572907803-1323","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/1642-Sycamore-Dr-Oakley-CA-94561/72547826_zpid/","Oakley, CA 94561","Auction","1642 Sycamore Dr,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","null","4","null","null","$473,011","Single Family","2006","No Data","Central","2 spaces","5,227 sqft","null","3","4","5","null","No","null","null","$9,306"
"1572908905-1646","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/community/duarte-ranch/2088802229_zpid/","Oakley, CA 94561","New construction","Buildable plan: Austere, Duarte Ranch,","","","","","","","2,224","4","3","None","$605,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","4","3","5","{""targetDiv"":""gpt-ad-cfdf57ae-9662-46e7-9933-002d79f7462b"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" K6ITDI"",""aamgnrc1"":""735 Ruby Hill Ln"",""bd"":""4"",""fsbid"":""14920"",""city"":""Oakley"",""proptp"":""sfh"",""pid"":""2088802229"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2000-2499"",""price"":""605000"",""sqft"":""2224"",""posting_url"":""http://www.discoveryhomes.com/oakley-ca/duarte-ranch?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=37123&nhf_listing_type=community&utm_term=comm_DuarteRanch&utm_campaign=Oakley%2FCA"",""state"":""CA"",""mlong"":""-121.704373"",""cnty"":""Contra_Costa"",""prange"":""600-699k"",""zip"":""94561"",""mlat"":""37.981019"",""plid"":""10966368"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISaphrfjpfffa00000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""14920-786201"",""dma"":""37""}}","Yes","null","null","null"
"1572904123-781","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/4219-Machado-Ln-Oakley-CA-94561/18288584_zpid/","Oakley, CA 94561","Lot/land","4219 Machado Ln,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","7.75 acres","null","None","$1,500,000","null","null","null","null","null","null","null","3","4","5","null","null","null","null","$3,724"
"1572907971-1379","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/76-Oneida-St-Oakley-CA-94561/95372590_zpid/","Oakley, CA 94561","For sale","76 Oneida St,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","780","2","1","$120,000","$120,000","Mobile / Manufactured","2005","No Data","No Data","2 spaces","$154","null","5","3","5","null","No","null","null","$264"
"1572904681-975","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/4736-Bayside-Way-Oakley-CA-94561/18292717_zpid/","Oakley, CA 94561","Pre-foreclosure","4736 Bayside Way,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","4","null","$432,802","$432,802","Single Family","1993","Forced air","Central","2 spaces","3,335 sqft","null","4","3","5","null","Composition","null","null","$5,105"
"1572909241-1673","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/5037-Gaspar-Ct-Oakley-CA-94561/18294593_zpid/","Oakley, CA 94561","For sale","5037 Gaspar Ct,","","","","","","","1,120","3","2","$432,250","$427,500","Single Family","1994","Forced air","Central","2 spaces","6,969 sqft","$2,250/mo","5","4","5","null","Stucco, Wood Siding","Composition","null","$4,210"
"1572904439-897","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/149-Willowrun-Way-Oakley-CA-94561/240414353_zpid/","Oakley, CA 94561","Pre-foreclosure","149 Willowrun Way,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","4","null","$442,968","$442,968","Single Family","2016","No Data","Central","2 spaces","3,910 sqft","null","3","4","5","null","No","null","null","$11,134"
"1572907859-1344","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/75-E-Bolton-Rd-UNIT-7-Oakley-CA-94561/2083581156_zpid/","Oakley, CA 94561","For sale","75 E Bolton Rd UNIT 7,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","--","2","1","$90,194","$89,900","Mobile / Manufactured","2019","Forced air","Central","No Data","No Data","$1,995/mo","4","4","5","null","No","null","null","null"
"1572907568-1245","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/4715-Neroly-Rd-Oakley-CA-94561/95396970_zpid/","Oakley, CA 94561","Lot/land","4715 Neroly Rd,","","","3","https://www.zillow.com/oakley-ca/3_p/","","","null","0.92 acres","null","null","$286,000","null","null","null","null","null","null","null","5","3","5","null","Level, Near Public Transit, Restaurant Nearby, Hospital Nearby, Shopping Cntr Nearby, Snow Line BelowSee all","Public Maintained Road","Electricity Connected","$2,112"
"1572907847-1341","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/1233-Poplar-Dr-Oakley-CA-94561/82866557_zpid/","Oakley, CA 94561","Auction","1233 Poplar Dr,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","null","4","null","null","$550,209","Single Family","2007","Forced air","Central, Other","2 spaces","6,534 sqft","null","3","4","5","null","Tile","null","null","$9,664"
