web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href
"1572899632-520","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/1-Driver-Ave-Alpine-Walk-Val-Verde-CA-91384/2091439270_zpid/","Val Verde, CA 91384","Lot/land","1 Driver Ave & Alpine Walk,","","","3","https://www.zillow.com/homes/for_sale/3_p/","","","","","null","5,501 sqft","null","None","$15,000","null","null","null","null","null","null","$1,650/mo","7","6","9","null","Standard","Paved","Water Available, Electricity Available","null","","","","","",""
"1572898248-403","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/1610-Buena-Vista-Ave-Gilroy-CA-95020/2082147372_zpid/","Gilroy, CA 95020","Lot/land","1610 Buena Vista Ave,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","null","15.38 acres","null","null","$1,200,000","null","null","null","null","null","null","null","6","6","7","null","Residential Lots & Land","Square Feet","Electricity - On Site, Other","null","NEXT","https://www.zillow.com/homes/for_sale/6_p/","NEXT","https://www.zillow.com/homes/for_sale/7_p/","",""
"1572900580-592","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/28966-Morningside-Dr-Castaic-CA-91384/2082799866_zpid/","Castaic, CA 91384","Lot/land","28966 Morningside Dr,","2","https://www.zillow.com/homes/for_sale/2_p/","","","","","","","null","7,866 sqft","null","None","$29,950","null","null","null","null","null","null","$1,650/mo","5","6","9","null","Los Angeles","Assessor","null","null","","","","","",""
"1572900085-561","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/0-Driver-Ave-Val-Verde-CA-91384/2096542686_zpid/","Val Verde, CA 91384","Lot/land","0 Driver Ave,","2","https://www.zillow.com/homes/for_sale/2_p/","","","","","","","null","7,844 sqft","null","None","$150,000","null","null","null","null","null","null","$1,650/mo","7","6","9","null","Standard","VVER - Val Verde","null","null","","","","","",""
"1572898008-380","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/10083-Banderilla-Dr-La-Grange-CA-95329/70399504_zpid/","La Grange, CA 95329","For sale","10083 Banderilla Dr,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","1,500","3","2","$274,177","$250,000","Single Family","1982","Stove","Evaporative","3 spaces","1.9 acres","$1,795/mo","4","6","null","Shower Stall(s)","Frame, Vinyl Siding, Wood, Wall Insulation","Composition","Propane, Propane Tank Leased","$2,545","NEXT","https://www.zillow.com/homes/for_sale/6_p/","NEXT","https://www.zillow.com/homes/for_sale/7_p/","",""
"1572898049-385","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/2695-Hacienda-Dr-Turlock-CA-95380/300258760_zpid/","Turlock, CA 95380","New construction","2695 Hacienda Dr,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","2,147","4","3","None","$469,617","Single Family","2019","Forced air","Central","Attached Garage","4,791 sqft","null","4","4","7","null","Yes","null","null","$1,432","NEXT","https://www.zillow.com/homes/for_sale/6_p/","NEXT","https://www.zillow.com/homes/for_sale/7_p/","",""
"1572897667-345","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/9492-Roseport-Way-Sacramento-CA-95826/25889351_zpid/","Sacramento, CA 95826","For sale","9492 Roseport Way,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","2,066","4","2","$380,003","$380,000","Single Family","1982","Forced air","Central","2 spaces","5,898 sqft","$2,000/mo","6","4","4","Formal Area","Stucco, Wood","Composition","All Public","$2,246","NEXT","https://www.zillow.com/homes/for_sale/6_p/","NEXT","https://www.zillow.com/homes/for_sale/7_p/","NEXT","https://www.zillow.com/homes/for_sale/8_p/"
"1572899936-552","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/0-Chiquita-Canyon-Rd-Val-Verde-CA/2084543999_zpid/","Val Verde, CA --","Lot/land","0 Chiquita Canyon Rd,","","","3","https://www.zillow.com/homes/for_sale/3_p/","","","","","null","2,726 sqft","null","None","$10,000","null","null","null","null","null","null","$1,645/mo","7","6","9","null","Standard","VVER - Val Verde","null","null","","","","","",""
"1572900712-603","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/3605-Eastwood-Cir-Santa-Clara-CA-95054/19488341_zpid/","Santa Clara, CA 95054","For sale","3605 Eastwood Cir,","","","","","","","","","1,565","4","2","$1,225,895","$1,265,000","Single Family","1967","Forced air","Central","2 spaces","7,954 sqft","$3,788/mo","5","5","7","null","No","null","Public Utilities","$6,604","","","","","",""
"1572899740-534","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/30014-Sharp-Rd-Castaic-CA-91384/20320920_zpid/","Castaic, CA 91384","For sale","30014 Sharp Rd,","","","3","https://www.zillow.com/homes/for_sale/3_p/","","","","","3,929","5","4","$1,419,839","$1,375,000","Single Family","1999","Forced air","Central","16 spaces","1.46 acres","$6,750/mo","5","6","9","null","Other","null","null","$13,846","","","","","",""
