web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,page6,page6-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919767-9694","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/2124-Huron-Dr-Concord-CA-94519/18342899_zpid/","Concord, CA 94519","For sale","2124 Huron Dr,","","","","","4","https://www.zillow.com/concord-ca/4_p/","","","","","1,408","3","2","$636,349","$600,000","Single Family","1953","Forced air","Central","Single Family","5,850 sqft","$3,200/mo","NA","2","4","{""targetDiv"":""gpt-ad-e9a9365c-2420-4a97-95fc-40f28b2c13c2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2124 Huron Dr"",""bd"":""3"",""fsbid"":""15463"",""city"":""Concord"",""proptp"":""sfh"",""pid"":""18342899"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-3766784637871953387"",""sqftrange"":""1000-1499"",""price"":""600000"",""sqft"":""1408"",""posting_url"":"""",""mlong"":""-122.024018"",""state"":""CA"",""prange"":""600-699k"",""zip"":""94519"",""mlat"":""37.990513"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3r1mv7hbilu91000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Olivera"",""yrblt"":""1940-1959"",""zestimate"":""636349"",""premieragent"":""no""}}","null","null","null","null"
"1572919906-9834","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/3760-Cooley-Dr-Concord-CA-94518/18369399_zpid/","Concord, CA 94518","For sale","3760 Cooley Dr,","","","3","https://www.zillow.com/concord-ca/3_p/","","","","","","","1,439","3","2","$699,721","$699,000","Single Family","1954","Forced air","Central","Single Family","10,454 sqft","null","4","2","6","No Data","null","null","null","null"
"1572920018-9922","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/4950-Boxer-Blvd-Concord-CA-94521/18372021_zpid/","Concord, CA 94521","Pre-foreclosure","4950 Boxer Blvd,","2","https://www.zillow.com/concord-ca/2_p/","","","","","","","","","null","3","null","$480,818","$480,818","Single Family","1972","Forced air","Central","Single Family","1,660 sqft","null","8","5","10","No Data","null","null","null","null"
"1572919808-9736","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/3055-Treat-Blvd-APT-36-Concord-CA-94518/18368742_zpid/","Concord, CA 94518","For sale","3055 Treat Blvd APT 36,","","","3","https://www.zillow.com/concord-ca/3_p/","","","","","","","1,044","2","2","None","$399,999","Townhouse","1971","Forced air","Central","Townhouse","1,045 sqft","null","5","1","4","No Data","null","null","null","null"
"1572919436-9312","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/2144-Northwood-Cir-UNIT-F-Concord-CA-94520/18342728_zpid/","Concord, CA 94520","Pre-foreclosure","2144 Northwood Cir UNIT F,","","","","","","","5","https://www.zillow.com/concord-ca/5_p/","","","null","2","null","$287,954","$287,954","Condo","1979","No Data","No Data","Condo","$681/month","null","3","2","4","No Data","null","null","null","null"
"1572919443-9321","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/2081-Olivera-Rd-APT-C-Concord-CA-94520/18342188_zpid/","Concord, CA 94520","For sale","2081 Olivera Rd APT C,","","","","","","","5","https://www.zillow.com/concord-ca/5_p/","","","975","2","2","$339,002","$339,000","Townhouse","1979","Forced air","Central","Townhouse","609 sqft","null","3","2","4","{""targetDiv"":""gpt-ad-1bda0423-5a2f-48ad-a1bb-124d2361391e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt C"",""aamgnrc1"":""2081 Olivera Rd"",""bd"":""2"",""fsbid"":""13379"",""city"":""Concord"",""proptp"":""twn"",""pid"":""18342188"",""lot"":""1"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""-738699925337674122"",""sqftrange"":""500-999"",""price"":""339000"",""sqft"":""975"",""posting_url"":""http://www.homesmartinternational.com/"",""mlong"":""-122.043761"",""state"":""CA"",""prange"":""300-349k"",""zip"":""94520"",""mlat"":""37.998307"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrhi3tkniyrtx0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""hood"":""Olivera"",""yrblt"":""1970-1979"",""zestimate"":""339002"",""premieragent"":""no""}}","null","null","null","null"
"1572919983-9897","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1341-Rosemary-Ln-Concord-CA-94518/18385225_zpid/","Concord, CA 94518","For sale","1341 Rosemary Ln,","2","https://www.zillow.com/concord-ca/2_p/","","","","","","","","","2,376","4","2","$692,424","$649,000","Single Family","1950","Forced air","Central","Single Family","10,454 sqft","$3,200/mo","2","1","4","No Data","null","null","null","null"
"1572919648-9560","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/97-A-St-Concord-CA-94520/18553035_zpid/","Concord, CA 94520","For sale","97 A St,","","","","","4","https://www.zillow.com/concord-ca/4_p/","","","","","886","2","1","None","$89,950","Mobile / Manufactured","1981","Other","Wall","Mobile / Manufactured","$102","null","3","2","4","No Data","null","null","null","null"
"1572919246-9104","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/Berrywood-Dr-Concord-CA-94521/95451292_zpid/","Concord, CA 94521","Lot/land","Berrywood Dr,","","","","","","","","","6","https://www.zillow.com/concord-ca/6_p/","null","1 acre","null","null","$765,000","null","null","null","null","null","null","null","8","5","6","{""targetDiv"":""gpt-ad-86797fdf-8766-4384-b8f9-37195cdd6da6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94521"",""aamgnrc1"":""Berrywood Dr"",""mlat"":""37.965627"",""bd"":""0"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISz78b76gp3dn10000000000.jpg"",""zusr"":""true"",""city"":""Concord"",""proptp"":""lot"",""pid"":""95451292"",""hood"":""Clayton_Valley"",""lot"":""5,6"",""listtp"":""buy_agent"",""zguidh"":""-3085676062916928267"",""premieragent"":""no"",""sqftrange"":""10000_and_up"",""price"":""765000"",""sqft"":""43560"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/concord/berrywood-dr/pid_33402264/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.971188"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572919870-9800","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1229-Krona-Ln-Concord-CA-94521/18361016_zpid/","Concord, CA 94521","For sale","1229 Krona Ln,","","","3","https://www.zillow.com/concord-ca/3_p/","","","","","","","3,168","5","3","null","$895,000","Single Family","1973","Forced air","Central","Single Family","0.41 acres","$3,500/mo","7","5","10","{""targetDiv"":""gpt-ad-3bafe422-f4bc-4fdb-9356-341bfd739a59"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1229 Krona Ln"",""bd"":""5"",""fsbid"":""4383"",""city"":""Concord"",""proptp"":""sfh"",""pid"":""18361016"",""lot"":""3"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-5867056703434143555"",""sqftrange"":""3000-3499"",""price"":""895000"",""sqft"":""3168"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/concord/1229-krona-ln/pid_30984212/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.956403"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94521"",""mlat"":""37.939807"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3nuh0ik8cccw1000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""Lime_Ridge"",""yrblt"":""1970-1979"",""zestimate"":""921017"",""premieragent"":""no""}}","null","null","null","null"
