web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href
"1572903038-2927","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/2640-Carson-Way-Antioch-CA-94531/50917281_zpid/","Antioch, CA 94531","Pre-foreclosure","2640 Carson Way,","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","2,334","4","2","$523,707","$523,707","Single Family","2000","Forced air","Central","Single Family","8,084 sqft","null","3","3","5","{""targetDiv"":""gpt-ad-357472f9-e5bc-48d2-a7da-948d53bf57b2"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2640 Carson Way"",""bd"":""4"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""50917281"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""-2984580030696509291"",""sqftrange"":""2000-2499"",""price"":""539905"",""sqft"":""2334"",""posting_url"":"""",""mlong"":""-121.787158"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94531"",""mlat"":""37.95648"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISus198dnrb5o40000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""539905"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903834-3529","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/4641-Silvercrest-Way-Antioch-CA-94531/18299077_zpid/","Antioch, CA 94531","For sale","4641 Silvercrest Way,","","","","","","","","","2,590","5","3","$505,004","$505,000","Single Family","1989","Forced air","Central","Single Family","6,934 sqft","$2,750/mo","3","1","5","{""targetDiv"":""gpt-ad-c1bb8a78-428a-4058-8666-9e10f6751231"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4641 Silvercrest Way"",""bd"":""5"",""fsbid"":""15263"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""18299077"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-4839061199264021043"",""sqftrange"":""2500-2999"",""price"":""505000"",""sqft"":""2590"",""posting_url"":"""",""mlong"":""-121.763254"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94531"",""mlat"":""37.970108"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3nmbqfolpqv61000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1980-1989"",""zestimate"":""505004"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572902897-2869","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/community/riverview-at-monterra/95385931_zpid/","Antioch, CA 94531","New construction","4520 Benton St,","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","2,766","4","3","None","$630,990","Single Family","2019","No Data","No Data","Single Family","0.56 acres","null","2","1","5","{""targetDiv"":""gpt-ad-c4b93457-8b14-44cd-a325-13651044cec0"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" RVWE7Y"",""aamgnrc1"":""Wild Horse Road & Goode St"",""bd"":""4"",""fsbid"":""13050"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""2083114330"",""zestibuck"":""600-699k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2500-2999"",""price"":""630990"",""sqft"":""2766"",""posting_url"":""https://www.khov.com/find-new-homes/california/antioch/94531/k-hovnanian-homes/riverview-at-monterra?ref=ZLO"",""state"":""CA"",""mlong"":""-121.758981"",""cnty"":""Contra_Costa"",""prange"":""600-699k"",""zip"":""94531"",""mlat"":""37.983702"",""plid"":""10836865"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrxa0mo1cujaq0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2010-2019"",""zestimate"":""630992"",""premieragent"":""no"",""builderChatId"":""13050-813712"",""dma"":""37""}}","null","null","null","null","NEXT","https://www.zillow.com/antioch-ca/6_p/","","","",""
"1572903293-3104","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/228-Boulder-Dr-Antioch-CA-94509/18312694_zpid/","Antioch, CA 94509","For sale","228 Boulder Dr,","","","","","4","https://www.zillow.com/antioch-ca/4_p/","","","1,690","3","2","$460,014","$460,000","Single Family","1969","Forced air","Central","Single Family","7,801 sqft","$2,450/mo","null","null","null","{""targetDiv"":""gpt-ad-06f1d739-daf3-4dd6-abc9-e00dd6e55d0c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""228 Boulder Dr"",""bd"":""3"",""fsbid"":""15263"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""18312694"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""-2445084233658697520"",""sqftrange"":""1500-1999"",""price"":""460000"",""sqft"":""1690"",""posting_url"":"""",""mlong"":""-121.799255"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""94509"",""mlat"":""37.982418"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf4c8u0nbimin0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1960-1969"",""zestimate"":""460014"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572902745-2805","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/2658-Wawona-Ct-Antioch-CA-94531/50917229_zpid/","Antioch, CA 94531","Pre-foreclosure","2658 Wawona Ct,","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","null","4","null","$524,976","$524,976","Single Family","2001","No Data","Central","Single Family","6,316 sqft","null","4","3","5","{""targetDiv"":""gpt-ad-17718156-b0a2-426a-ba59-8b661377ef6e"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2658 Wawona Ct"",""bd"":""4"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""50917229"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""564264072578906508"",""sqftrange"":""2500-2999"",""price"":""541213"",""sqft"":""2813"",""posting_url"":"""",""mlong"":""-121.785221"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94531"",""mlat"":""37.955256"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""541213"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/antioch-ca/6_p/","NEXT","https://www.zillow.com/antioch-ca/7_p/","",""
"1572903796-3499","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/327-W-Madill-St-Antioch-CA-94509/18307771_zpid/","Antioch, CA 94509","For sale","327 W Madill St,","","","","","","","","","1,081","3","1","$354,666","$350,000","Single Family","1947","Wall","Other","Single Family","5,749 sqft","$2,300/mo","1","1","3","{""targetDiv"":""gpt-ad-d6b4a799-fcfd-4374-b454-4825234d4087"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""327 W Madill St"",""bd"":""3"",""fsbid"":""15050"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""18307771"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""7047872629482269789"",""sqftrange"":""1000-1499"",""price"":""350000"",""sqft"":""1081"",""posting_url"":"""",""mlong"":""-121.811351"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94509"",""mlat"":""38.000575"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISne5sjou3rlcx1000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1940-1959"",""zestimate"":""354666"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903675-3402","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/1806-Geneva-Ln-37-Antioch-CA-94509/18552601_zpid/","Antioch, CA 94509","For sale","1806 Geneva Ln # 37,","2","https://www.zillow.com/antioch-ca/2_p/","","","","","","","1,344","2","2","None","$145,000","Mobile / Manufactured","1989","Forced air","Central","Mobile / Manufactured","$108","$1,650/mo","2","1","3","{""targetDiv"":""gpt-ad-f46e7ac4-365c-41bd-8dc5-4f1c00f1264d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 37"",""zip"":""94509"",""aamgnrc1"":""1806 Geneva Ln"",""mlat"":""38.003514"",""bd"":""2"",""fsbid"":""15263"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzbndaz5bddn90000000000.jpg"",""zusr"":""true"",""city"":""Antioch"",""proptp"":""mm"",""pid"":""18552601"",""yrblt"":""1980-1989"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""7903886471741228105"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""145000"",""sqft"":""1344"",""posting_url"":"""",""mlong"":""-121.77718"",""state"":""CA"",""park"":""yes"",""prange"":""100-149k""}}","null","null","null","null","","","","","",""
"1572902947-2890","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/community/cielo-at-sand-creek-_-prosper-collection/2084685895_zpid/","null","null","null","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","","","","","",""
"1572903878-3558","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/2532-Vallecito-Way-Antioch-CA-94531/50917107_zpid/","Antioch, CA 94531","For sale","2532 Vallecito Way,","","","","","","","","","4,008","5","3","$577,012","$630,000","Single Family","2000","Forced air","Central","Single Family","7,296 sqft","null","4","3","5","{""targetDiv"":""gpt-ad-b435a5b2-91e4-4bf0-890b-418cb101cce8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2532 Vallecito Way"",""bd"":""5"",""fsbid"":""14106"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""50917107"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-3071999813150436052"",""sqftrange"":""4000-4499"",""price"":""630000"",""sqft"":""4008"",""posting_url"":"""",""mlong"":""-121.779754"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94531"",""mlat"":""37.955404"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7ilehq890j2x0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""577012"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572902815-2834","https://www.zillow.com/homes/antioch-CA_rb/","","https://www.zillow.com/homedetails/4890-Cushendall-Way-Antioch-CA-94531/59398714_zpid/","Antioch, CA 94531","Pre-foreclosure","4890 Cushendall Way,","","","","","","","5","https://www.zillow.com/antioch-ca/5_p/","null","4","null","$606,090","$606,090","Single Family","2002","No Data","Central","Single Family","0.29 acres","null","6","8","9","{""targetDiv"":""gpt-ad-0b34a8e4-ca9d-4a6c-a0ff-f9b34ef9d3fd"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4890 Cushendall Way"",""bd"":""4"",""city"":""Antioch"",""proptp"":""sfh"",""pid"":""59398714"",""lot"":""3"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""3452056020504422212"",""sqftrange"":""2500-2999"",""price"":""624836"",""sqft"":""2832"",""posting_url"":"""",""mlong"":""-121.748122"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94531"",""mlat"":""37.965672"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2000-2009"",""zestimate"":""624836"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/antioch-ca/6_p/","","","",""
